Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2023-02-21,12:00 AM,41ʡF,28ʡF,61ʡ%,E,4ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-02-21,12:30 AM,39ʡF,30ʡF,70ʡ%,ENE,7ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-02-21,1:00 AM,43ʡF,30ʡF,61ʡ%,ENE,9ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-02-21,1:30 AM,41ʡF,30ʡF,65ʡ%,ENE,9ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-02-21,2:00 AM,39ʡF,34ʡF,81ʡ%,ENE,9ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-02-21,2:30 AM,41ʡF,34ʡF,76ʡ%,NE,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-02-21,3:00 AM,41ʡF,34ʡF,76ʡ%,NE,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-02-21,3:30 AM,39ʡF,34ʡF,81ʡ%,NE,7ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-02-21,4:00 AM,37ʡF,34ʡF,87ʡ%,NE,7ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-02-21,4:30 AM,39ʡF,34ʡF,81ʡ%,NE,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-02-21,5:00 AM,41ʡF,34ʡF,76ʡ%,NE,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-02-21,5:30 AM,41ʡF,34ʡF,76ʡ%,NNE,11ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-02-21,6:00 AM,41ʡF,34ʡF,76ʡ%,NE,9ʡmph,0ʡmph,30.54ʡin,0.0ʡin,Fair
2023-02-21,6:30 AM,39ʡF,32ʡF,75ʡ%,NE,9ʡmph,0ʡmph,30.54ʡin,0.0ʡin,Partly Cloudy
2023-02-21,7:00 AM,41ʡF,34ʡF,76ʡ%,NE,9ʡmph,0ʡmph,30.57ʡin,0.0ʡin,Partly Cloudy
2023-02-21,7:30 AM,43ʡF,32ʡF,66ʡ%,NE,11ʡmph,0ʡmph,30.57ʡin,0.0ʡin,Partly Cloudy
2023-02-21,8:00 AM,43ʡF,34ʡF,70ʡ%,NE,11ʡmph,0ʡmph,30.57ʡin,0.0ʡin,Partly Cloudy
2023-02-21,8:30 AM,43ʡF,32ʡF,66ʡ%,NE,13ʡmph,0ʡmph,30.57ʡin,0.0ʡin,Partly Cloudy
2023-02-21,9:00 AM,43ʡF,28ʡF,57ʡ%,NE,18ʡmph,0ʡmph,30.60ʡin,0.0ʡin,Partly Cloudy
2023-02-21,9:30 AM,45ʡF,28ʡF,53ʡ%,ENE,13ʡmph,0ʡmph,30.60ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,10:00 AM,45ʡF,27ʡF,49ʡ%,NE,13ʡmph,0ʡmph,30.60ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,10:30 AM,48ʡF,27ʡF,43ʡ%,NE,11ʡmph,0ʡmph,30.60ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,11:00 AM,48ʡF,27ʡF,43ʡ%,ENE,11ʡmph,0ʡmph,30.60ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,11:30 AM,48ʡF,27ʡF,43ʡ%,NE,7ʡmph,0ʡmph,30.57ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,12:00 PM,48ʡF,27ʡF,43ʡ%,NE,9ʡmph,0ʡmph,30.57ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,12:30 PM,50ʡF,28ʡF,43ʡ%,E,7ʡmph,0ʡmph,30.54ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,1:00 PM,48ʡF,27ʡF,43ʡ%,VAR,7ʡmph,0ʡmph,30.54ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,1:30 PM,50ʡF,28ʡF,43ʡ%,E,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,2:00 PM,50ʡF,30ʡF,47ʡ%,E,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,2:30 PM,48ʡF,28ʡF,46ʡ%,E,11ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Mostly Cloudy
2023-02-21,3:00 PM,48ʡF,28ʡF,46ʡ%,ENE,11ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Partly Cloudy
