,metric,time,val
0,v.building.A001A.elec.hourly,2020-08-01 01:00:00+00:00,20.910339355465112
1,v.building.A001A.elec.hourly,2020-08-01 02:00:00+00:00,20.90270996093932
2,v.building.A001A.elec.hourly,2020-08-01 03:00:00+00:00,24.32250976562318
3,v.building.A001A.elec.hourly,2020-08-01 04:00:00+00:00,20.09887695312318
4,v.building.A001A.elec.hourly,2020-08-01 05:00:00+00:00,17.884216308602845
5,v.building.A001A.elec.hourly,2020-08-01 06:00:00+00:00,25.1318359375
6,v.building.A001A.elec.hourly,2020-08-01 07:00:00+00:00,19.69665527341931
7,v.building.A001A.elec.hourly,2020-08-01 08:00:00+00:00,27.969055175790345
8,v.building.A001A.elec.hourly,2020-08-01 09:00:00+00:00,29.602966308599207
9,v.building.A001A.elec.hourly,2020-08-01 10:00:00+00:00,25.977783203117724
10,v.building.A001A.elec.hourly,2020-08-01 11:00:00+00:00,21.935424804680224
11,v.building.A001A.elec.hourly,2020-08-01 12:00:00+00:00,25.559692382819776
12,v.building.A001A.elec.hourly,2020-08-01 13:00:00+00:00,15.083312988283067
13,v.building.A001A.elec.hourly,2020-08-01 14:00:00+00:00,14.869689941404433
14,v.building.A001A.elec.hourly,2020-08-01 15:00:00+00:00,27.773742675772155
15,v.building.A001A.elec.hourly,2020-08-01 16:00:00+00:00,37.24975585938046
16,v.building.A001A.elec.hourly,2020-08-01 17:00:00+00:00,32.22137451171875
17,v.building.A001A.elec.hourly,2020-08-01 18:00:00+00:00,11.25701904298512
18,v.building.A001A.elec.hourly,2020-08-01 19:00:00+00:00,11.25549316406432
19,v.building.A001A.elec.hourly,2020-08-01 20:00:00+00:00,11.25701904295056
20,v.building.A001A.elec.hourly,2020-08-01 21:00:00+00:00,11.253356933588291
21,v.building.A001A.elec.hourly,2020-08-01 22:00:00+00:00,11.25732421875182
22,v.building.A001A.elec.hourly,2020-08-01 23:00:00+00:00,11.258850097659888
23,v.building.A001A.elec.hourly,2020-08-02 00:00:00+00:00,11.252441406260914
24,v.building.A001A.elec.hourly,2020-08-02 01:00:00+00:00,11.05682373046875
25,v.building.A001A.elec.hourly,2020-08-02 02:00:00+00:00,11.654357910147157
26,v.building.A001A.elec.hourly,2020-08-02 03:00:00+00:00,11.261901855463291
27,v.building.A001A.elec.hourly,2020-08-02 04:00:00+00:00,11.255187988277612
28,v.building.A001A.elec.hourly,2020-08-02 05:00:00+00:00,11.252441406260914
29,v.building.A001A.elec.hourly,2020-08-02 06:00:00+00:00,13.674316406253638
30,v.building.A001A.elec.hourly,2020-08-02 07:00:00+00:00,13.059692382807045
31,v.building.A001A.elec.hourly,2020-08-02 08:00:00+00:00,24.58160400390807
32,v.building.A001A.elec.hourly,2020-08-02 09:00:00+00:00,53.19061279297239
33,v.building.A001A.elec.hourly,2020-08-02 10:00:00+00:00,56.4651489257667
34,v.building.A001A.elec.hourly,2020-08-02 11:00:00+00:00,53.833312988290345
35,v.building.A001A.elec.hourly,2020-08-02 12:00:00+00:00,57.45452880858102
36,v.building.A001A.elec.hourly,2020-08-02 13:00:00+00:00,59.838562011744216
37,v.building.A001A.elec.hourly,2020-08-02 14:00:00+00:00,58.64837646483648
38,v.building.A001A.elec.hourly,2020-08-02 15:00:00+00:00,56.825561523430224
39,v.building.A001A.elec.hourly,2020-08-02 16:00:00+00:00,59.86419677733648
40,v.building.A001A.elec.hourly,2020-08-02 17:00:00+00:00,58.04138183595569
41,v.building.A001A.elec.hourly,2020-08-02 18:00:00+00:00,57.42950439451306
42,v.building.A001A.elec.hourly,2020-08-02 19:00:00+00:00,50.761413574226026
43,v.building.A001A.elec.hourly,2020-08-02 20:00:00+00:00,53.17260742188773
44,v.building.A001A.elec.hourly,2020-08-02 21:00:00+00:00,54.99908447265079
45,v.building.A001A.elec.hourly,2020-08-02 22:00:00+00:00,53.17779541015079
46,v.building.A001A.elec.hourly,2020-08-02 23:00:00+00:00,51.360778808584655
47,v.building.A001A.elec.hourly,2020-08-03 00:00:00+00:00,43.49212646486558
48,v.building.A001A.elec.hourly,2020-08-03 01:00:00+00:00,43.47778320313046
49,v.building.A001A.elec.hourly,2020-08-03 02:00:00+00:00,36.39068603513624
50,v.building.A001A.elec.hourly,2020-08-03 03:00:00+00:00,35.593872070319776
51,v.building.A001A.elec.hourly,2020-08-03 04:00:00+00:00,34.99664306640261
52,v.building.A001A.elec.hourly,2020-08-03 05:00:00+00:00,36.183776855479664
53,v.building.A001A.elec.hourly,2020-08-03 06:00:00+00:00,37.60101318358829
54,v.building.A001A.elec.hourly,2020-08-03 07:00:00+00:00,41.03851318358829
55,v.building.A001A.elec.hourly,2020-08-03 08:00:00+00:00,45.32745361328125
56,v.building.A001A.elec.hourly,2020-08-03 09:00:00+00:00,56.41876220704216
57,v.building.A001A.elec.hourly,2020-08-03 10:00:00+00:00,56.42181396484193
58,v.building.A001A.elec.hourly,2020-08-03 11:00:00+00:00,57.42675781250546
59,v.building.A001A.elec.hourly,2020-08-03 12:00:00+00:00,57.3788452148292
60,v.building.A001A.elec.hourly,2020-08-03 13:00:00+00:00,49.53887939453125
61,v.building.A001A.elec.hourly,2020-08-03 14:00:00+00:00,48.30596923827761
62,v.building.A001A.elec.hourly,2020-08-03 15:00:00+00:00,50.14373779297057
63,v.building.A001A.elec.hourly,2020-08-03 16:00:00+00:00,49.309082031259095
64,v.building.A001A.elec.hourly,2020-08-03 17:00:00+00:00,48.13690185547239
65,v.building.A001A.elec.hourly,2020-08-03 18:00:00+00:00,41.64581298827397
66,v.building.A001A.elec.hourly,2020-08-03 19:00:00+00:00,32.191162109364086
67,v.building.A001A.elec.hourly,2020-08-03 20:00:00+00:00,21.717834472659888
68,v.building.A001A.elec.hourly,2020-08-03 21:00:00+00:00,17.085571289067957
69,v.building.A001A.elec.hourly,2020-08-03 22:00:00+00:00,18.49151611328307
70,v.building.A001A.elec.hourly,2020-08-03 23:00:00+00:00,16.68243408202943
71,v.building.A001A.elec.hourly,2020-08-04 00:00:00+00:00,16.081237792974207
72,v.building.A001A.elec.hourly,2020-08-04 01:00:00+00:00,16.081848144527612
73,v.building.A001A.elec.hourly,2020-08-04 02:00:00+00:00,18.28918457031796
74,v.building.A001A.elec.hourly,2020-08-04 03:00:00+00:00,17.289733886709655
75,v.building.A001A.elec.hourly,2020-08-04 04:00:00+00:00,17.283020019516698
76,v.building.A001A.elec.hourly,2020-08-04 05:00:00+00:00,17.28118896484375
77,v.building.A001A.elec.hourly,2020-08-04 06:00:00+00:00,17.28759765626819
78,v.building.A001A.elec.hourly,2020-08-04 07:00:00+00:00,17.687072753909888
79,v.building.A001A.elec.hourly,2020-08-04 08:00:00+00:00,16.686096191409888
80,v.building.A001A.elec.hourly,2020-08-04 09:00:00+00:00,17.887268066402612
81,v.building.A001A.elec.hourly,2020-08-04 10:00:00+00:00,19.70123291014897
82,v.building.A001A.elec.hourly,2020-08-04 11:00:00+00:00,17.684936523448414
83,v.building.A001A.elec.hourly,2020-08-04 12:00:00+00:00,17.283935546871362
84,v.building.A001A.elec.hourly,2020-08-04 13:00:00+00:00,16.483154296867724
85,v.building.A001A.elec.hourly,2020-08-04 14:00:00+00:00,17.88909912109375
86,v.building.A001A.elec.hourly,2020-08-04 15:00:00+00:00,15.276489257805224
87,v.building.A001A.elec.hourly,2020-08-04 16:00:00+00:00,16.689758300788526
88,v.building.A001A.elec.hourly,2020-08-04 17:00:00+00:00,16.076354980472388
89,v.building.A001A.elec.hourly,2020-08-04 18:00:00+00:00,18.898315429676583
90,v.building.A001A.elec.hourly,2020-08-04 19:00:00+00:00,17.891845703125
91,v.building.A001A.elec.hourly,2020-08-04 20:00:00+00:00,20.896606445305224
92,v.building.A001A.elec.hourly,2020-08-04 21:00:00+00:00,17.893981933615578
93,v.building.A001A.elec.hourly,2020-08-04 22:00:00+00:00,17.88543701171875
94,v.building.A001A.elec.hourly,2020-08-04 23:00:00+00:00,18.29376220703125
95,v.building.A001A.elec.hourly,2020-08-05 00:00:00+00:00,17.28515625
96,v.building.A001A.elec.hourly,2020-08-05 01:00:00+00:00,16.080932617191138
97,v.building.A001A.elec.hourly,2020-08-05 02:00:00+00:00,15.474853515625
98,v.building.A001A.elec.hourly,2020-08-05 03:00:00+00:00,17.887268066398974
99,v.building.A001A.elec.hourly,2020-08-05 04:00:00+00:00,20.30181884764897
100,v.building.A001A.elec.hourly,2020-08-05 05:00:00+00:00,16.484680175784888
101,v.building.A001A.elec.hourly,2020-08-05 06:00:00+00:00,16.680603027347388
102,v.building.A001A.elec.hourly,2020-08-05 07:00:00+00:00,18.29132080077761
103,v.building.A001A.elec.hourly,2020-08-05 08:00:00+00:00,17.888183593753638
104,v.building.A001A.elec.hourly,2020-08-05 09:00:00+00:00,14.270019531235448
105,v.building.A001A.elec.hourly,2020-08-05 10:00:00+00:00,12.465820312510914
106,v.building.A001A.elec.hourly,2020-08-05 11:00:00+00:00,16.690673828117724
107,v.building.A001A.elec.hourly,2020-08-05 12:00:00+00:00,28.798828125014552
108,v.building.A001A.elec.hourly,2020-08-05 13:00:00+00:00,22.720336914047948
109,v.building.A001A.elec.hourly,2020-08-05 14:00:00+00:00,37.66967773437864
110,v.building.A001A.elec.hourly,2020-08-05 15:00:00+00:00,50.05706787110466
111,v.building.A001A.elec.hourly,2020-08-05 16:00:00+00:00,46.76452636718386
112,v.building.A001A.elec.hourly,2020-08-05 17:00:00+00:00,25.956420898433866
113,v.building.A001A.elec.hourly,2020-08-05 18:00:00+00:00,13.871459960926586
114,v.building.A001A.elec.hourly,2020-08-05 19:00:00+00:00,12.462463378909888
115,v.building.A001A.elec.hourly,2020-08-05 20:00:00+00:00,12.055969238292164
116,v.building.A001A.elec.hourly,2020-08-05 21:00:00+00:00,13.07067871093932
117,v.building.A001A.elec.hourly,2020-08-05 22:00:00+00:00,18.088073730474207
118,v.building.A001A.elec.hourly,2020-08-05 23:00:00+00:00,16.278381347641698
